seed,sample,method,ari,nmi,n_clusters,res
6,7DPI,SpatialGATAE,0.6136608806851547,0.7474994659600566,10,0.3
6,7DPI,ExprOnlyAE,0.6568756615738114,0.77605193516274,15,0.8
6,Ctrl,SpatialDomainAE,0.6173161212362029,0.7484202514376425,13,0.5
6,Ctrl,SpatialGATAE,0.6254955804583395,0.7541752133985749,14,0.5
6,Ctrl,ExprOnlyAE,0.6225015426783983,0.7448154214553977,13,0.5
7,1DPI,SpatialDomainAE,0.5369547182154175,0.7195900640713101,9,0.3
7,1DPI,SpatialGATAE,0.5528307973223034,0.7337155078986586,9,0.3
7,1DPI,ExprOnlyAE,0.5555696777187857,0.7367511656679422,11,0.5
7,3DPI,SpatialDomainAE,0.7206332574499738,0.8126250650052234,13,0.5
7,3DPI,SpatialGATAE,0.6838121928922449,0.8016062017869663,13,0.5
7,3DPI,ExprOnlyAE,0.7038364073363412,0.8043686680188361,15,0.8
7,7DPI,SpatialDomainAE,0.6672979167333507,0.7781761423717463,11,0.3
7,7DPI,SpatialGATAE,0.6211254211170543,0.7525143787151596,11,0.3
7,7DPI,ExprOnlyAE,0.608188083410352,0.7563433011482392,11,0.5
7,Ctrl,SpatialDomainAE,0.6372363482671429,0.7624716928459981,14,0.5
7,Ctrl,SpatialGATAE,0.669213130345372,0.7725152546822323,13,0.5
7,Ctrl,ExprOnlyAE,0.645017169016675,0.7588239314719187,13,0.5
8,1DPI,SpatialDomainAE,0.5421917617590039,0.7411861956520931,20,1.0
8,1DPI,SpatialGATAE,0.5574596194905596,0.7358465151925385,9,0.3
8,1DPI,ExprOnlyAE,0.5486232446204303,0.7277945188602127,11,0.5
8,3DPI,SpatialDomainAE,0.6939295560797525,0.8066048523382173,12,0.5
8,3DPI,SpatialGATAE,0.6882519984875065,0.8066559822911673,17,0.8
8,3DPI,ExprOnlyAE,0.7172033039973614,0.8174678226474043,14,0.8
8,7DPI,SpatialDomainAE,0.6269321922209539,0.7708020143800877,9,0.3
8,7DPI,SpatialGATAE,0.5775633701567265,0.7440844556450845,11,0.3
8,7DPI,ExprOnlyAE,0.5764172497282664,0.7322105183482445,9,0.5
8,Ctrl,SpatialDomainAE,0.5983690373080479,0.7383760304259263,11,0.3
8,Ctrl,SpatialGATAE,0.6028865783009112,0.7439631776487746,13,0.5
8,Ctrl,ExprOnlyAE,0.6649744739915229,0.7636840165504588,13,0.5
9,1DPI,SpatialDomainAE,0.5507152558466981,0.7292609733962068,9,0.3
9,1DPI,SpatialGATAE,0.5559925515481591,0.7350903950913183,9,0.3
9,1DPI,ExprOnlyAE,0.518209059343222,0.7136937981906618,12,0.5
9,3DPI,SpatialDomainAE,0.7592978496202663,0.8261174811000799,15,0.5
9,3DPI,SpatialGATAE,0.6675376490812591,0.7929845505203544,13,0.5
9,3DPI,ExprOnlyAE,0.726140659857724,0.813224617106641,16,0.8
9,7DPI,SpatialDomainAE,0.6313003841781064,0.7536778327586283,9,0.3
9,7DPI,SpatialGATAE,0.6643544778881108,0.7934332079258906,14,0.5
9,7DPI,ExprOnlyAE,0.6585321478257989,0.7679923053555533,10,0.5
9,Ctrl,SpatialDomainAE,0.6269811095503318,0.7484152658185337,13,0.5
9,Ctrl,SpatialGATAE,0.615737366258062,0.7465449967228364,12,0.5
9,Ctrl,ExprOnlyAE,0.5679787780721152,0.7224693419014605,13,0.5
