seed,sample,variant,n_feat_edges,ari,nmi,n_clusters,res,sec
8,Ctrl,prune_lr,24191,0.5604696477293706,0.7020518263918809,10,0.5,13.8
8,Ctrl,local_feat,48340,0.5488569962621997,0.7138103647579991,18,1.0,13.8
8,Ctrl,rand_feat,48340,0.5595249803610429,0.7068401106056121,15,0.8,13.4
8,Ctrl,dist_matched,48340,0.5567631545494649,0.6989480324303589,10,0.5,13.5
8,Ctrl,spatial_only,0,0.5435067161897554,0.6931094300252435,10,0.5,9.8
9,1DPI,full,51740,0.5250022507088455,0.7025156383004227,10,0.5,14.7
9,1DPI,prune_lr,25870,0.5028707818604207,0.7012728815521688,19,1.0,14.1
9,1DPI,local_feat,51740,0.5077739233158703,0.6905215403299204,9,0.5,15.2
9,1DPI,rand_feat,51740,0.501063083000021,0.6861749092380881,9,0.5,14.6
9,1DPI,dist_matched,51740,0.5002412368766628,0.6853128721088004,15,0.8,15.0
9,1DPI,spatial_only,0,0.49948614804798835,0.671694624338778,10,0.5,11.2
9,3DPI,full,51460,0.719569682396913,0.7979010071265374,15,1.0,14.5
9,3DPI,prune_lr,25812,0.7155061442921614,0.7972143700433528,16,1.0,14.4
9,3DPI,local_feat,51460,0.7582613104853869,0.8092485291261882,15,1.0,14.1
9,3DPI,rand_feat,51460,0.7268604549788131,0.791675595931378,16,1.0,14.7
9,3DPI,dist_matched,51460,0.7152068500836839,0.8007321703016229,15,0.8,14.9
9,3DPI,spatial_only,0,0.7119027940654008,0.7986272219531608,15,1.0,11.5
9,7DPI,full,51920,0.6641903169576032,0.7723341659034868,12,0.8,14.7
9,7DPI,prune_lr,26053,0.6508747660475411,0.7665627914493066,12,0.8,14.6
9,7DPI,local_feat,51920,0.6797961576169027,0.7811693614826405,13,0.8,15.8
9,7DPI,rand_feat,51920,0.6271743760687237,0.7607168090097393,13,0.8,14.1
9,7DPI,dist_matched,51920,0.6239604697810536,0.7581279527626917,12,0.8,15.0
9,7DPI,spatial_only,0,0.6301261977390924,0.753538877657666,13,0.8,10.6
9,Ctrl,full,48340,0.5947276572169418,0.7223674462101293,14,0.8,13.9
9,Ctrl,prune_lr,24191,0.5686519086352054,0.7138645855106629,14,0.8,14.2
9,Ctrl,local_feat,48340,0.6028858458206205,0.7317662482704835,14,0.8,14.8
9,Ctrl,rand_feat,48340,0.5597857342677685,0.712919900307649,15,0.8,13.9
9,Ctrl,dist_matched,48340,0.5884130435974608,0.7277145590729822,16,1.0,13.7
9,Ctrl,spatial_only,0,0.5519965670393651,0.7159413787305231,17,1.0,11.0
